COUNTY_ID,COUNTY,FLD01,FLD02,FLD03,FLD04,FLD05,FLD06,FLD07,FLD08,INFO_TIME
縣市代碼,縣市名稱,納稅單位,總所得,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,資料時間
65000,新北市,1200122.00 ,1184467511.00 ,987.00 ,681.00 ,405.00 ,1200.00 ,1366.80 ,138.50 ,"110Y"
63000,臺北市,856961.00 ,1141468177.00 ,1332.00 ,791.00 ,417.00 ,1556.00 ,2846.00 ,213.70 ,"110Y"
68000,桃園市,658935.00 ,651706677.00 ,989.00 ,713.00 ,432.00 ,1217.00 ,1128.30 ,114.10 ,"110Y"
66000,臺中市,775146.00 ,735721617.00 ,949.00 ,666.00 ,387.00 ,1155.00 ,1262.00 ,133.00 ,"110Y"
67000,臺南市,479412.00 ,452557352.00 ,944.00 ,675.00 ,407.00 ,1144.00 ,1131.60 ,119.90 ,"110Y"
64000,高雄市,734674.00 ,676849380.00 ,921.00 ,676.00 ,400.00 ,1144.00 ,1102.30 ,119.70 ,"110Y"
10002,宜蘭縣,112574.00 ,93799558.00 ,833.00 ,637.00 ,393.00 ,1036.00 ,816.60 ,98.00 ,"110Y"
10004,新竹縣,170318.00 ,237669935.00 ,1395.00 ,842.00 ,478.00 ,1621.00 ,2059.30 ,147.60 ,"110Y"
10005,苗栗縣,145321.00 ,132647386.00 ,913.00 ,677.00 ,418.00 ,1139.00 ,907.80 ,99.50 ,"110Y"
10007,彰化縣,304136.00 ,252129801.00 ,829.00 ,622.00 ,376.00 ,1018.00 ,926.60 ,111.80 ,"110Y"
10008,南投縣,103336.00 ,81260473.00 ,786.00 ,607.00 ,371.00 ,977.00 ,749.20 ,95.30 ,"110Y"
10009,雲林縣,136690.00 ,114133853.00 ,835.00 ,647.00 ,395.00 ,1058.00 ,778.70 ,93.30 ,"110Y"
10010,嘉義縣,96839.00 ,77549528.00 ,801.00 ,627.00 ,384.00 ,1007.00 ,722.90 ,90.30 ,"110Y"
10013,屏東縣,163161.00 ,129122073.00 ,791.00 ,631.00 ,391.00 ,990.00 ,730.70 ,92.30 ,"110Y"
10014,臺東縣,40927.00 ,32187242.00 ,786.00 ,622.00 ,390.00 ,994.00 ,696.80 ,88.60 ,"110Y"
10015,花蓮縣,75017.00 ,60035310.00 ,800.00 ,620.00 ,382.00 ,1009.00 ,740.80 ,92.60 ,"110Y"
10016,澎湖縣,27216.00 ,24514690.00 ,901.00 ,740.00 ,466.00 ,1137.00 ,746.20 ,82.80 ,"110Y"
10017,基隆市,107326.00 ,91471313.00 ,852.00 ,639.00 ,399.00 ,1069.00 ,883.40 ,103.70 ,"110Y"
10018,新竹市,137408.00 ,208850992.00 ,1520.00 ,877.00 ,464.00 ,1818.00 ,2368.50 ,155.80 ,"110Y"
10020,嘉義市,68096.00 ,62398885.00 ,916.00 ,672.00 ,384.00 ,1154.00 ,952.40 ,103.90 ,"110Y"
09020,金門縣,43558.00 ,42058585.00 ,966.00 ,751.00 ,451.00 ,1212.00 ,906.10 ,93.80 ,"110Y"
09007,連江縣,4793.00 ,4946064.00 ,1032.00 ,830.00 ,562.00 ,1280.00 ,1012.60 ,98.10 ,"110Y"
