COUNTY_ID,COUNTY,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
縣市代碼,縣市名稱,博士人口數,碩士人口數,大學院校人口數,專科人口數,高中職人口數,國中初職人口數,小學人口數,自修人口數,不識字人口數,資料時間
"65000","新北市",21265,246449,1053363,436328,1019766,435092,293750,5249,20303,"110Y"
"63000","臺北市",34968,271319,811701,285674,493714,143001,144668,3229,7933,"110Y"
"68000","桃園市",11267,134679,593837,219521,604006,206715,156833,3159,13344,"110Y"
"66000","臺中市",17621,175087,737692,286808,720680,249742,207132,3324,17277,"110Y"
"67000","臺南市",11855,116067,472057,171447,460835,185084,203882,1822,16680,"110Y"
"64000","高雄市",16291,168526,684286,288104,749083,248317,237409,4429,28080,"110Y"
"10002","宜蘭縣",1641,21540,95768,47457,111048,67450,46173,2367,4657,"110Y"
"10004","新竹縣",4533,48690,150210,50945,136792,46492,41932,1176,2063,"110Y"
"10005","苗栗縣",1785,25072,123728,48451,153540,62579,55012,1267,2308,"110Y"
"10007","彰化縣",3665,55310,280105,111336,326303,148411,143883,3103,23409,"110Y"
"10008","南投縣",1610,20218,96756,45592,136311,67315,57972,1169,3476,"110Y"
"10009","雲林縣",1920,26536,132964,54807,174862,94270,96103,1684,13696,"110Y"
"10010","嘉義縣",1400,17339,94904,40029,135860,70849,76881,982,9185,"110Y"
"10013","屏東縣",2632,31884,159976,78429,248613,94365,92847,1730,10900,"110Y"
"10014","臺東縣",589,8011,37797,19150,63247,28344,29664,338,1959,"110Y"
"10015","花蓮縣",1602,14439,66587,32789,96065,36227,34514,329,1499,"110Y"
"10016","澎湖縣",437,5217,24886,8524,28159,13007,14301,231,835,"110Y"
"10017","基隆市",1330,17553,85077,40969,109224,38477,31037,641,2791,"110Y"
"10018","新竹市",6471,49092,124477,38484,93806,33974,28369,467,2067,"110Y"
"10020","嘉義市",1839,17828,70519,30687,66112,20019,20800,272,2067,"110Y"
"09020","金門縣",909,10131,42431,14138,35707,13326,11173,801,436,"110Y"
"09007","連江縣",34,974,3944,1332,3277,1131,1122,125,228,"110Y"
